# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0879165860  FREE
image003      0.5703261705  FREE
image004      1.2346200526  FREE
image005      1.9103019791  FREE
image006      2.4924838561  FREE
image007      2.9085565544  FREE
image008      3.1126703067  FREE
image009      3.0767500750  FREE
image010      2.7893250502  FREE
image011      2.2551496317  FREE
image012      1.4981449745  FREE
image013      0.5668970133  FREE
image014     -0.4575423545  FREE
image015     -1.4515214166  FREE
image016     -2.2366070479  FREE
image017     -2.5662229345  FREE
