# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0261751741  FREE
image003      0.4686139682  FREE
image004      1.1095849979  FREE
image005      1.7813583428  FREE
image006      2.3700568229  FREE
image007      2.7950879134  FREE
image008      3.0033499220  FREE
image009      2.9629065947  FREE
image010      2.6616249303  FREE
image011      2.1069314347  FREE
image012      1.3281231476  FREE
image013      0.3805304264  FREE
image014     -0.6487202889  FREE
image015     -1.6334367777  FREE
image016     -2.3998382940  FREE
image017     -2.7172836235  FREE
