# Iter  residual_force  cell_norms
0000    114.864041  18.8869 18.8632 18.8430 18.8250 18.8077 18.7883 18.7645 18.7364 18.7061 18.6764 18.6489 18.6249
0001     43.369851  18.8869 18.8666 18.8540 18.8380 18.8146 18.7879 18.7643 18.7437 18.7195 18.6877 18.6524 18.6249
0002     82.301046  18.8869 18.8669 18.8582 18.8389 18.8107 18.7855 18.7625 18.7405 18.7209 18.6922 18.6528 18.6249
0003     56.916295  18.8869 18.8607 18.8533 18.8282 18.8003 18.7774 18.7541 18.7304 18.7110 18.6877 18.6466 18.6249
0004     37.402988  18.8869 18.8426 18.8332 18.8075 18.7840 18.7596 18.7352 18.7127 18.6903 18.6675 18.6281 18.6249
0005     37.239895  18.8869 18.8138 18.8028 18.7801 18.7572 18.7318 18.7074 18.6848 18.6608 18.6363 18.5984 18.6249
0006     35.228380  18.8869 18.7870 18.7758 18.7535 18.7294 18.7040 18.6781 18.6559 18.6334 18.6079 18.5707 18.6249
0007     38.979063  18.8869 18.7618 18.7500 18.7275 18.7028 18.6754 18.6509 18.6289 18.6065 18.5809 18.5447 18.6249
0008     32.752884  18.8869 18.7332 18.7190 18.6962 18.6727 18.6459 18.6196 18.5985 18.5743 18.5494 18.5151 18.6249
0009     27.748772  18.8869 18.7020 18.6843 18.6620 18.6403 18.6168 18.5909 18.5650 18.5402 18.5143 18.4833 18.6249
0010     17.273720  18.8869 18.6714 18.6496 18.6294 18.6109 18.5900 18.5635 18.5358 18.5072 18.4795 18.4524 18.6249
0011     15.570412  18.8869 18.6418 18.6152 18.5981 18.5845 18.5662 18.5392 18.5075 18.4749 18.4457 18.4229 18.6249
0012     16.100035  18.8869 18.6126 18.5813 18.5679 18.5583 18.5427 18.5154 18.4808 18.4437 18.4120 18.3943 18.6249
0013     16.469219  18.8869 18.5841 18.5480 18.5391 18.5332 18.5188 18.4914 18.4544 18.4130 18.3783 18.3666 18.6249
0014     16.739708  18.8869 18.5586 18.5162 18.5105 18.5090 18.4973 18.4703 18.4300 18.3832 18.3461 18.3419 18.6249
0015     16.061392  18.8869 18.5341 18.4851 18.4827 18.4846 18.4746 18.4472 18.4047 18.3537 18.3142 18.3186 18.6249
0016     15.548598  18.8869 18.5105 18.4544 18.4551 18.4601 18.4515 18.4239 18.3797 18.3245 18.2824 18.2959 18.6249
0017     15.076169  18.8869 18.4874 18.4236 18.4273 18.4356 18.4279 18.4000 18.3544 18.2954 18.2505 18.2739 18.6249
0018     14.590278  18.8869 18.4656 18.3935 18.4000 18.4107 18.4029 18.3746 18.3289 18.2665 18.2188 18.2532 18.6249
